Month,Year,Sum_Produce
3,2012,25151525.84
4,2012,24406048.3899999
5,2012,28249539.01
6,2012,28691364.32
7,2012,28535707.45
8,2012,25793520.64
9,2012,21915641.66
10,2012,21203562.52
11,2012,21736158.96
12,2012,21962976.75
1,2013,20322683.64
2,2013,19829620.75
3,2013,22717069.8500001
4,2013,21625385.04
5,2013,23000152.4
6,2013,24755406.2
7,2013,26803105.5600001
8,2013,22600217.01
9,2013,21401265.74
10,2013,19296578.09
11,2013,20489773.49
12,2013,21715706.6699999
1,2014,22544458.38
2,2014,21262413.12
3,2014,23247168.62
4,2014,22541987.92
5,2014,25943046.7499999
6,2014,24782178.43
7,2014,24263117.59
8,2014,21879988.86
9,2014,18407263.58
10,2014,19497571.95
11,2014,19444753.17
12,2014,19240384.75
1,2015,20088529.29
2,2015,19772333.34
3,2015,24608406.71
4,2015,21559729.45
5,2015,25792074.5900001
6,2015,27212464.15
7,2015,26338477.15
8,2015,23130626.5999999
9,2015,20774415.93
10,2015,20359980.58
11,2015,21936906.81
12,2015,20462899.3
